#{"t_start": 1765588898.3054426, "env_id": "None"}
r,l,t
1.0,1568,16.466738
0.0,1936,32.960513
1.0,1373,45.867793
1.0,1551,59.939802
1.0,669,65.585026
1.0,632,72.457573
1.0,248,74.001172
1.0,275,77.203468
1.0,361,79.417743
1.0,363,83.124002
1.0,211,84.424248
1.0,179,87.082987
1.0,301,88.953435
1.0,352,92.591888
1.0,176,93.676548
1.0,410,97.642714
1.0,305,101.128344
1.0,313,103.108623
1.0,162,105.768562
1.0,213,107.102904
1.0,217,109.934841
1.0,739,116.104034
1.0,152,117.051471
